Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
            HDB 4-room Flats,"93,349.00","92,283.00","91,243.00","88,473.00","85,197.00","83,163.00","81,034.00","77,696.00","75,371.00","73,708.00","70,364.00","66,947.00","66,002.00","65,762.00","66,306.00","66,107.00","65,392.00","65,432.00","64,916.00","64,809.00"
            HDB 5-room And Executive Flats,"73,317.00","79,500.00","83,321.00","83,101.00","81,717.00","80,854.00","80,117.00","78,224.00","76,423.00","75,343.00","72,708.00","69,509.00","67,589.00","66,181.00","64,651.00","62,850.00","60,200.00","57,809.00","55,390.00","53,684.00"
        Condominiums & Other Apartments,"18,080.00","21,232.00","23,769.00","24,095.00","24,704.00","26,123.00","27,311.00","27,483.00","25,929.00","26,238.00","26,736.00","26,440.00","27,063.00","28,054.00","29,080.00","30,617.00","32,461.00","35,460.00","38,410.00","40,229.00"
        Landed Properties,"17,418.00","17,043.00","16,453.00","15,314.00","14,306.00","13,576.00","13,114.00","12,662.00","12,287.00","11,958.00","11,989.00","11,519.00","11,600.00","11,588.00","11,606.00","11,241.00","11,080.00","10,791.00","10,660.00","10,570.00"
        Other Types Of Dwelling,"2,259.00","1,964.00","1,670.00","1,371.00","1,274.00","1,158.00","1,220.00","1,375.00","1,345.00","1,341.00","1,229.00","1,187.00","1,172.00","1,094.00","1,028.00","1,038.00","1,000.00",905,845,809
10-14 Years,"235,352.00","246,972.00","257,692.00","259,124.00","257,283.00","258,553.00","256,482.00","255,292.00","253,796.00","248,628.00","244,302.00","240,536.00","233,320.00","226,244.00","220,796.00","214,388.00","207,495.00","206,253.00","206,530.00","207,926.00"
        Total HDB Dwellings,"197,568.00","205,239.00","212,574.00","213,264.00","210,946.00","210,815.00","208,232.00","206,529.00","206,166.00","202,214.00","198,219.00","195,124.00","188,562.00","181,834.00","175,901.00","168,505.00","160,924.00","157,104.00","154,403.00","153,260.00"
            HDB 1- And 2-room Flats,"4,418.00","3,936.00","3,630.00","3,442.00","3,356.00","3,419.00","3,485.00","3,672.00","4,052.00","4,375.00","5,006.00","5,675.00","6,387.00","7,261.00","7,748.00","7,910.00","7,992.00","8,018.00","7,951.00","7,890.00"
            HDB 3-room Flats,"39,875.00","37,269.00","35,652.00","33,729.00","31,098.00","29,768.00","28,547.00","28,009.00","28,306.00","28,647.00","28,665.00","28,965.00","27,971.00","26,953.00","26,342.00","25,258.00","24,091.00","23,589.00","23,112.00","22,690.00"
            HDB 4-room Flats,"84,698.00","88,660.00","92,851.00","93,409.00","92,479.00","91,861.00","90,423.00","88,873.00","87,716.00","84,866.00","82,176.00","79,655.00","76,266.00","72,883.00","70,030.00","66,587.00","63,307.00","61,955.00","61,504.00","61,676.00"
