columbaria,lat,lng
The Garden of Remembrance ,1.37438090020444,103.692362100285
Nirvana Memorial Garden Singapore ,1.37074660000522,103.688127899999
Seh Ong Charity  ,1.34112360004777,103.753208899825
Choa Chu Kang Columbarium ,1.37432220008567,103.686619599628
Mandai Columbarium ,1.41391170006884,103.809632099597
Yishun Columbarium ,1.43466830013524,103.833557399816
