hawker_centre,address,type_of_centre,lat,lng
Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,29.34061965,47.70720569860271
Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,29.34061965,47.70720569860271
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,29.34061965,47.70720569860271
Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK,1.3891523000000001,103.74343591557418
Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,1.311196,103.7600286
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,1.38901635,103.74216384539167
Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,36.273488,43.162365
Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,30.18416165,31.436386239888453
Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,1.38916845,103.74097064843777
Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,1.3751296,103.8546476
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,1.3333197,103.9275467
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,-41.123346,146.00777758198814
Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,32.30195955,36.317604711764716
Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,1.3718021,103.8367391
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,1.4177715,103.8376254
Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,1.3194712,103.8722442
Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,53.4102836,-2.9563587
Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,1.3786507,103.8447083
Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC,1.4437547,103.7993416
Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC,1.3390222,103.8506472
Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC,1.1839467,30.785375
Blk 79 Redhill Lane,"Blk 79, Redhill Lane, S(150079)",MK,30.055445300000002,30.999406604094737
Blk 79 Telok Blangah Drive,"Blk 79, Telok Blangah Drive, S(100079)",HC,30.055445300000002,30.999406604094737
Blk 80 Circuit Road,"Blk 80, Circuit Road, S(370080)",MHC,1.18567,30.7928283
Blk 82 Telok Blangah Drive,"Blk 82, Telok Blangah Drive, S(100082)",MK,1.323461,103.856347
Blk 84 Marine Parade Central,"Blk 84, Marine Parade Central, S(440084)",MHC,1.1649317,30.793605
Blk 85 Bedok North Street 4,"Blk 85, Bedok North Street 4, S(460085)",MHC,1.288407,103.789925
Blk 85 Redhill Lane,"Blk 85, Redhill Lane, S(150085)",HC,1.288407,103.789925
Blk 89 Circuit Road,"Blk 89, Circuit Road, S(370089)",MHC,22.4092046,114.2048218926586
Blk 90 Whampoa Drive,"Blk 90, Whampoa Drive, S(320090)",MHC,1.3235556,103.886956
Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC,22.409948200000002,114.20402609484869
Blks 13/14 Haig Road,"Blk 13/14, Haig Road, S(430013/430014)",MHC,-33.9381086,18.4525592
Blks 160/162 Ang Mo Kio Ave 4,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC,36.273488,43.162365
Blks 1A/ 2A/ 3A Commonwealth Drive,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",HC,31.903710150000002,36.571396861816844
Blks 2 & 3 Changi Village Road,"Blk 2/3, Changi Village Road, S(500002/500003)",MHC,14.5407701,121.1121762
Blks 20/21 Marsiling Lane,"Blk 20/21, Marsiling Lane, S(730020/730021)",MHC,27.28089575,31.282283854718557
Blks 221 A/B Boon Lay Place,"Blk 221A/B, Boon Lay Place, S(641221/642221)",MHC,1.3246735,103.9346862
Blks 22A/B Havelock Road,"Blk 22A/B, Havelock Road, S(161022/162022)",HC,-28.605059349999998,21.103162373593655
Blks 79/79A Circuit Road,"Blk 79/79A, Circuit Road, S(370079/371079)",HC,30.055445300000002,30.999406604094737
Blks 91/92 Whampoa Drive,"Blk 91/92, Whampoa Drive, S(320091/320092)",MHC,22.5743584,88.430777
Chinatown Market,"Blk 335, Smith Street, S(050335)",MHC,-18.2238204,127.6649925
Chong Pang Market & Food Centre,"Blk 104/105, Yishun Ring Road, S(760104/760105)",MHC,36.273488,43.162365
Hong Lim Market & Food Centre,"Blk 531A, Upper Cross Street, S(051531)",MHC,36.273488,43.162365
Kovan Market & Food Centre,"Blk 209, Hougang Street 21, S(530209)",MHC,1.3244295,103.9315765
Pek Kio Market & Food Centre,"Blk 41A, Cambridge Road, S(211041)",MHC,1.3161363499999998,103.85024150624383
People's Park Food Centre,"Blk 32, New Market Road, S(050032)",HC,1.28490005,103.84249641935088
Tekka Market,"Blk 665, Buffalo Road, S(210665)",MHC,1.3743661,103.8836189
