crematorium,lat,lng
Kong Meng San Phor Kark See Monastery (Bright Hill Temple) ,1.36150529989277,103.835805099601
Tze Tho Aum Temple ,1.36185950026669,103.838298600236
Choa Chu Kang Crematorium ,1.37057759968833,103.686982799742
Mandai Crematorium ,1.41391170006884,103.809632099597
