station_name,lat,lng,type
Coral Edge,1.39392,103.912633,LRT
Riviera,1.39454,103.91605600000001,LRT
Kadaloor,1.399633,103.916536,LRT
Oasis,1.402304,103.912736,LRT
Damai,1.4052930000000001,103.908606,LRT
Sam Kee,1.409808,103.90491999999999,LRT
Teck Lee,1.412783,103.906565,LRT
Punggol Point,1.416932,103.90668000000001,LRT
Samudera,1.4159549999999999,103.902185,LRT
Nibong,1.411865,103.90032099999999,LRT
Sumang,1.408501,103.898605,LRT
Soo Teck,1.4054360000000001,103.897287,LRT
