school_name,lat,lng,address,mainlevel_code
dunman high school,1.297452,103.8765419,10   tanjong rhu road,mixed levels
dunman secondary school,1.36116845,103.95601386964589,21   tampines street 45,secondary
east spring primary school,1.3528815,103.96191726928652,31   tampines st 33,primary
east spring secondary school,1.3569738500000001,103.96108060454718,30   tampines street 34,secondary
edgefield primary school,1.40035045,103.90752739305407,41   edgefield plains,primary
edgefield secondary school,1.4002065,103.90231236583652,36   punggol field,secondary
elias park primary school,1.37491195,103.94517579238352,11   pasir ris street 52,primary
endeavour primary school,1.4544299500000002,103.81757920859401,10   admiralty link,primary
eunoia junior college,1.3590773,103.8351214,2    sin ming place,junior college
eunos primary school,1.32463215,103.90458530342072,95   jalan eunos,primary
evergreen primary school,1.44383025,103.79473608556,31   woodlands circle,primary
evergreen secondary school,1.44173915,103.79402384418674,11   woodlands street 83,secondary
fairfield methodist school (primary),1.3005616,103.7845243,100  dover road,primary
fairfield methodist school (secondary),1.30171935,103.7843920607827,102  dover road,secondary
fajar secondary school,1.3753080500000001,103.7640113844527,31   gangsa road,secondary
farrer park primary school,1.3125247,103.8510381626646,2    farrer park road,primary
fengshan primary school,1.3300987,103.93188245052653,307  bedok north road,primary
fern green primary school,1.3958874,103.8790836,70   fernvale link,primary
fernvale primary school,1.3899632999999998,103.8742108705357,1    fernvale lane,primary
first toa payoh primary school,1.3404649,103.8558674534298,7    lorong 8 toa payoh,primary
frontier primary school,1.3369298,103.69963774202806,20   jurong west street 61,primary
fuchun primary school,1.4269223,103.7986233,23   woodlands avenue 1,primary
fuchun secondary school,1.4269223,103.7986233,21   woodlands avenue 1,secondary
fuhua primary school,1.3364853499999998,103.73645449079083,65   jurong east street 13,primary
fuhua secondary school,1.34730265,103.72703830833032,5    jurong west street 41,secondary
gan eng seng primary school,1.2858741500000002,103.81513175137866,100  redhill close,primary
gan eng seng school,1.2894694000000002,103.82366196916158,1    henderson road,secondary
geylang methodist school (primary),1.3184764,103.8818566,4    geylang east central,primary
geylang methodist school (secondary),1.3199543,103.88952227706913,2    geylang east central,secondary
gongshang primary school,1.3573263,103.94931114016394,1    tampines street 42,primary
greendale primary school,1.39620005,103.91272454370991,50   edgedale plains,primary
greendale secondary school,1.3977221499999999,103.91160976934093,51   edgedale plains,secondary
greenridge primary school,1.3856168,103.76800482210834,11   jelapang road,primary
greenridge secondary school,1.3825375,103.7738488647038,32   bukit panjang ring road,secondary
greenwood primary school,1.4399652,103.8047573433338,11   woodlands  dr  62,primary
guangyang primary school,1.3457530000000002,103.84930970398092,6    bishan street 12,primary
guangyang secondary school,1.34461375,103.8499305484476,8    bishan street 12,secondary
hai sing catholic school,1.3745734,103.95515793710277,9    pasir ris drive 6,secondary
haig girls' school,1.31173415,103.90267301151283,51   koon seng road,primary
henry park primary school,1.3170568999999999,103.78421632658535,1    holland grove road,primary
hillgrove secondary school,1.3533675,103.75299054610036,10   bukit batok street 52,secondary
holy innocents' high school,1.3716598,103.8957435716956,1191 upper serangoon road,secondary
holy innocents' primary school,1.36708755,103.89388216851452,5    lorong low koon,primary
hong wen school,1.32178305,103.85752691301875,30   towner road,primary
horizon primary school,1.39998505,103.91311619800231,61   edgedale plains,primary
hougang primary school,1.3783581,103.88107202176852,1    hougang st 93,primary
hougang secondary school,1.37773995,103.88247109093004,2    hougang street 93,secondary
hua yi secondary school,1.3520885,103.72162517495629,60   jurong west st 42,secondary
huamin primary school,1.42686205,103.84426433501295,21   yishun avenue 11,primary
hwa chong institution,1.3180945,103.8327793,661  bukit timah road,mixed levels
innova primary school,1.4292761,103.79073434544745,80   woodlands drive 17,primary
jiemin primary school,1.42810765,103.83017091898063,2    yishun street 71,primary
jing shan primary school,1.3722577999999999,103.85201520714915,5    ang mo kio st 52,primary
junyuan primary school,1.347782,103.9393972465966,2    tampines street 91,primary
junyuan secondary school,1.3530906,103.93349716384535,11   tampines street 84,secondary
jurong pioneer junior college,1.38545185,103.753923628179,21   teck whye walk,junior college
jurong primary school,1.3487249000000001,103.73305563805556,320  jurong east street 32,primary
jurong secondary school,1.33030995,103.72397423030336,31   yuan ching road,secondary
jurong west primary school,1.3393141499999999,103.69902734141112,30   jurong west st 61,primary
jurong west secondary school,1.3354612000000001,103.70240256902011,61   jurong west street 65,secondary
jurongville secondary school,1.35128445,103.72897389782479,202  jurong east avenue 1,secondary
juying primary school,1.33875125,103.68825378175828,31   jurong west street 91,primary
juying secondary school,1.3420118,103.6871261,33   jurong west street 91,secondary
keming primary school,1.3453422000000002,103.75639902669866,90   bukit batok east avenue 6,primary
kent ridge secondary school,1.3011517000000001,103.76512888660395,147  west coast road,secondary
kheng cheng school,1.33703365,103.84744227895004,15   lorong 3 toa payoh,primary
kong hwa school,1.3111953,103.88787278336936,350  guillemard road,primary
kranji primary school,1.39393915,103.74715505973106,11   choa chu kang street 54,primary
kranji secondary school,1.3905569500000001,103.7412086489197,61   choa chu kang street 51,secondary
kuo chuan presbyterian primary school,1.3507026,103.8528522,8    bishan street 13,primary
kuo chuan presbyterian secondary school,1.35019155,103.85468982217463,10   bishan street 13,secondary
lakeside primary school,1.33834735,103.71798831116391,161  corporation walk,primary
lianhua primary school,1.3538616499999998,103.7540792422912,2    bukit batok street 52,primary
loyang view secondary school,1.3664422,103.9575296221395,12   pasir ris street 11,secondary
maha bodhi school,1.3284777,103.90153454958934,10   ubi avenue 1,primary
manjusri secondary school,1.3275613499999999,103.90171392055302,20   ubi avenue 1,secondary
maris stella high school,1.34203865,103.87832755031559,25   mount vernon road,mixed levels
marsiling primary school,1.4341551,103.77336667761655,31   woodlands centre road,primary
marsiling secondary school,1.43729935,103.77594105924656,12   marsiling road,secondary
marymount convent school,1.3402824,103.83975627199351,20   marymount road,primary
mayflower primary school,1.3769171,103.8351841,6    ang mo kio ave 2,primary
mayflower secondary school,1.36906525,103.83577078845278,2    ang mo kio street 21,secondary
mee toh school,1.3983983,103.9132116,21   edgedale plains,primary
meridian primary school,1.3760329,103.9352079847041,20   pasir ris st 71,primary
meridian secondary school,1.36757525,103.9489426571053,31   pasir ris street 51,secondary
methodist girls' school (primary),1.3328403500000001,103.78357653245811,11   blackmore drive,primary
methodist girls' school (secondary),1.3328403500000001,103.78357653245811,11   blackmore drive,secondary
millennia institute,1.3532096,103.7389263,60   bukit batok west avenue 8,centralised institute
montfort junior school,1.3746523499999999,103.88953676594389,52   hougang avenue 8,primary
montfort secondary school,1.3738332500000001,103.88879516794466,50   hougang avenue 8,secondary
nan chiau high school,1.3894693,103.89008329140609,20   anchorvale link,secondary
nan chiau primary school,1.3920267499999999,103.89104244775346,50   anchorvale link,primary
nan hua high school,1.3083036,103.76909938343833,41   clementi avenue 1,secondary
nan hua primary school,1.319504,103.76183412747466,30   jalan lempeng,primary
nanyang girls' high school,1.3305083500000001,103.8023239692522,2    linden drive,secondary
nanyang junior college,1.3513392999999998,103.86657490591355,128  serangoon avenue 3,junior college
nanyang primary school,1.3208318499999998,103.80821659496904,52   king's road,primary
national junior college,1.3330649,103.8081867,37   hillcrest road,mixed levels
naval base primary school,1.4165306000000002,103.83846101951393,7    yishun ave 4,primary
naval base secondary school,1.419211,103.83099497032207,901  yishun ring road,secondary
new town primary school,1.29972515,103.80008513099864,300  tanglin halt road,primary
new town secondary school,1.30988355,103.77360136689545,1020 dover road,secondary
ngee ann primary school,1.30554595,103.91795247595277,344  marine terrace,primary
ngee ann secondary school,1.3543069,103.95665280780372,1    tampines street 32,secondary
north spring primary school,1.3871308,103.9041517,1    rivervale street,primary
north view primary school,1.4306081,103.849242,210  yishun avenue 6,primary
north vista primary school,1.3828947999999999,103.89597706955436,20   compassvale link,primary
north vista secondary school,1.3816673000000002,103.89878616016483,11   rivervale link,secondary
northbrooks secondary school,1.4182108,103.8336083,585  yishun ring road,secondary
northland primary school,1.4212034,103.84058396984423,15   yishun avenue 4,primary
northland secondary school,1.43571045,103.84071947342821,3    yishun street 22,secondary
northlight school,1.32011765,103.85615292371608,151  towner road,secondary
northoaks primary school,1.45694685,103.81354104538616,61   sembawang drive,primary
nus high school of mathematics and science,1.3114714,103.7691361,20   clementi avenue 1,mixed levels
oasis primary school,1.4039916,103.910977,71   edgefield plains,primary
opera estate primary school,1.3196642,103.92376598402687,48   fidelio street,primary
orchid park secondary school,1.4157749499999999,103.83810287861955,10   yishun street 81,secondary
outram secondary school,1.28627625,103.83712669941735,3    york hill,secondary
palm view primary school,1.3830007,103.8913607,150  compassvale bow,primary
park view primary school,1.363294,103.9643002,60   pasir ris drive 1,primary
pasir ris crest secondary school,1.37271,103.9597609909008,11   pasir ris street 41,secondary
pasir ris primary school,1.37215285,103.96302630022184,5    pasir ris street 21,primary
pasir ris secondary school,1.35470585,103.94852724495263,390  tampines street 21,secondary
paya lebar methodist girls' school (primary),1.34993195,103.88492375591991,298  lorong ah soo,primary
paya lebar methodist girls' school (secondary),1.3466286,103.8772645,296  lor ah soo,secondary
pei chun public school,1.3370877,103.85567368799579,16   lorong 7 toa payoh,primary
pei hwa presbyterian primary school,1.3380993,103.77621882050181,7    pei wah avenue,primary
pei hwa secondary school,1.39088135,103.87815202921738,21   fernvale link,secondary
pei tong primary school,1.316004,103.76784516774438,15   clementi avenue 5,primary
peicai secondary school,1.35891515,103.87058442684707,10   serangoon avenue 4,secondary
peirce secondary school,1.3664814,103.82953310012323,10   sin ming walk,secondary
peiying primary school,1.4177946000000001,103.83016958773982,651  yishun ring road,primary
ping yi secondary school,1.3269364000000001,103.92096511877992,61   chai chee street,secondary
pioneer primary school,1.3489146,103.69480866814555,23   jurong west street 81,primary
poi ching school,1.3577705,103.93548678736875,21   tampines street 71,primary
presbyterian high school,1.3832223,103.84281996031899,5209 ang mo kio avenue 6,secondary
princess elizabeth primary school,1.3493822,103.74095420018139,30   bukit batok west avenue 3,primary
punggol cove primary school,1.4117400999999998,103.89921923530514,52   sumang walk,primary
punggol green primary school,1.4012654,103.8974314,98   punggol walk,primary
punggol primary school,1.3781311500000002,103.89475446575264,61   hougang avenue 8,primary
punggol secondary school,1.4022782999999999,103.90906378552833,51   edgefield plains,secondary
