school_name,lat,lng,address,mainlevel_code
guangyang primary school,0,0,6    bishan street 12,primary
guangyang secondary school,0,0,8    bishan street 12,secondary
hai sing catholic school,0,0,9    pasir ris drive 6,secondary
haig girls' school,0,0,51   koon seng road,primary
henry park primary school,0,0,1    holland grove road,primary
hillgrove secondary school,0,0,10   bukit batok street 52,secondary
holy innocents' high school,0,0,1191 upper serangoon road,secondary
holy innocents' primary school,0,0,5    lorong low koon,primary
hong wen school,0,0,30   towner road,primary
horizon primary school,0,0,61   edgedale plains,primary
hougang primary school,0,0,1    hougang st 93,primary
hougang secondary school,0,0,2    hougang street 93,secondary
hua yi secondary school,0,0,60   jurong west st 42,secondary
huamin primary school,0,0,21   yishun avenue 11,primary
hwa chong institution,0,0,661  bukit timah road,mixed levels
innova primary school,0,0,80   woodlands drive 17,primary
jiemin primary school,0,0,2    yishun street 71,primary
jing shan primary school,0,0,5    ang mo kio st 52,primary
junyuan primary school,0,0,2    tampines street 91,primary
junyuan secondary school,0,0,11   tampines street 84,secondary
jurong pioneer junior college,0,0,21   teck whye walk,junior college
jurong primary school,0,0,320  jurong east street 32,primary
jurong secondary school,0,0,31   yuan ching road,secondary
jurong west primary school,0,0,30   jurong west st 61,primary
jurong west secondary school,0,0,61   jurong west street 65,secondary
jurongville secondary school,0,0,202  jurong east avenue 1,secondary
juying primary school,0,0,31   jurong west street 91,primary
juying secondary school,0,0,33   jurong west street 91,secondary
keming primary school,0,0,90   bukit batok east avenue 6,primary
kent ridge secondary school,0,0,147  west coast road,secondary
kheng cheng school,0,0,15   lorong 3 toa payoh,primary
kong hwa school,0,0,350  guillemard road,primary
kranji primary school,0,0,11   choa chu kang street 54,primary
kranji secondary school,0,0,61   choa chu kang street 51,secondary
kuo chuan presbyterian primary school,0,0,8    bishan street 13,primary
kuo chuan presbyterian secondary school,0,0,10   bishan street 13,secondary
lakeside primary school,0,0,161  corporation walk,primary
lianhua primary school,0,0,2    bukit batok street 52,primary
loyang view secondary school,0,0,12   pasir ris street 11,secondary
maha bodhi school,0,0,10   ubi avenue 1,primary
manjusri secondary school,0,0,20   ubi avenue 1,secondary
maris stella high school,0,0,25   mount vernon road,mixed levels
marsiling primary school,0,0,31   woodlands centre road,primary
marsiling secondary school,0,0,12   marsiling road,secondary
marymount convent school,0,0,20   marymount road,primary
mayflower primary school,0,0,6    ang mo kio ave 2,primary
mayflower secondary school,0,0,2    ang mo kio street 21,secondary
mee toh school,0,0,21   edgedale plains,primary
meridian primary school,0,0,20   pasir ris st 71,primary
meridian secondary school,0,0,31   pasir ris street 51,secondary
methodist girls' school (primary),0,0,11   blackmore drive,primary
methodist girls' school (secondary),0,0,11   blackmore drive,secondary
millennia institute,0,0,60   bukit batok west avenue 8,centralised institute
montfort junior school,0,0,52   hougang avenue 8,primary
montfort secondary school,0,0,50   hougang avenue 8,secondary
nan chiau high school,0,0,20   anchorvale link,secondary
nan chiau primary school,0,0,50   anchorvale link,primary
nan hua high school,0,0,41   clementi avenue 1,secondary
nan hua primary school,0,0,30   jalan lempeng,primary
nanyang girls' high school,0,0,2    linden drive,secondary
nanyang junior college,0,0,128  serangoon avenue 3,junior college
nanyang primary school,0,0,52   king's road,primary
national junior college,0,0,37   hillcrest road,mixed levels
naval base primary school,0,0,7    yishun ave 4,primary
naval base secondary school,0,0,901  yishun ring road,secondary
new town primary school,0,0,300  tanglin halt road,primary
new town secondary school,0,0,1020 dover road,secondary
ngee ann primary school,0,0,344  marine terrace,primary
ngee ann secondary school,0,0,1    tampines street 32,secondary
north spring primary school,0,0,1    rivervale street,primary
north view primary school,0,0,210  yishun avenue 6,primary
north vista primary school,0,0,20   compassvale link,primary
north vista secondary school,0,0,11   rivervale link,secondary
northbrooks secondary school,0,0,585  yishun ring road,secondary
northland primary school,0,0,15   yishun avenue 4,primary
northland secondary school,0,0,3    yishun street 22,secondary
northlight school,0,0,151  towner road,secondary
northoaks primary school,0,0,61   sembawang drive,primary
nus high school of mathematics and science,0,0,20   clementi avenue 1,mixed levels
oasis primary school,0,0,71   edgefield plains,primary
opera estate primary school,0,0,48   fidelio street,primary
orchid park secondary school,0,0,10   yishun street 81,secondary
outram secondary school,0,0,3    york hill,secondary
palm view primary school,0,0,150  compassvale bow,primary
park view primary school,0,0,60   pasir ris drive 1,primary
pasir ris crest secondary school,0,0,11   pasir ris street 41,secondary
pasir ris primary school,0,0,5    pasir ris street 21,primary
pasir ris secondary school,0,0,390  tampines street 21,secondary
paya lebar methodist girls' school (primary),0,0,298  lorong ah soo,primary
paya lebar methodist girls' school (secondary),0,0,296  lor ah soo,secondary
pei chun public school,0,0,16   lorong 7 toa payoh,primary
pei hwa presbyterian primary school,0,0,7    pei wah avenue,primary
pei hwa secondary school,0,0,21   fernvale link,secondary
pei tong primary school,0,0,15   clementi avenue 5,primary
peicai secondary school,0,0,10   serangoon avenue 4,secondary
peirce secondary school,0,0,10   sin ming walk,secondary
peiying primary school,0,0,651  yishun ring road,primary
ping yi secondary school,0,0,61   chai chee street,secondary
pioneer primary school,0,0,23   jurong west street 81,primary
poi ching school,0,0,21   tampines street 71,primary
presbyterian high school,0,0,5209 ang mo kio avenue 6,secondary
princess elizabeth primary school,0,0,30   bukit batok west avenue 3,primary
punggol cove primary school,0,0,52   sumang walk,primary
punggol green primary school,0,0,98   punggol walk,primary
punggol primary school,0,0,61   hougang avenue 8,primary
punggol secondary school,0,0,51   edgefield plains,secondary
punggol view primary school,0,0,9    punggol place,primary
qifa primary school,0,0,50   west coast avenue,primary
qihua primary school,0,0,5    woodlands street 81,primary
queenstown primary school,0,0,310  margaret dr,primary
queenstown secondary school,0,0,1    strathmore road,secondary
queensway secondary school,0,0,2a   margaret drive,secondary
radin mas primary school,0,0,1    bukit purmei avenue,primary
raffles girls' primary school,0,0,21   hillcrest road,primary
raffles girls' school (secondary),0,0,2    braddell rise,secondary
raffles institution,0,0,1    raffles institution lane,mixed levels
red swastika school,0,0,350  bedok north avenue 3,primary
regent secondary school,0,0,50   choa chu kang north 5,secondary
river valley high school,0,0,6    boon lay avenue,mixed levels
river valley primary school,0,0,2    river valley green,primary
riverside primary school,0,0,110  woodlands crescent,primary
riverside secondary school,0,0,3    woodlands street 81,secondary
rivervale primary school,0,0,80   rivervale drive,primary
rosyth school,0,0,21   serangoon north avenue 4,primary
rulang primary school,0,0,6    jurong west street 52,primary
"school of science and technology, singapore",0,0,1    technology drive,secondary
"school of the arts, singapore",0,0,1    zubir said drive,mixed levels
sembawang primary school,0,0,10   sembawang drive,primary
sembawang secondary school,0,0,30   sembawang crescent,secondary
seng kang primary school,0,0,21   compassvale walk,primary
seng kang secondary school,0,0,10   compassvale lane,secondary
sengkang green primary school,0,0,15   fernvale road,primary
serangoon garden secondary school,0,0,21   serangoon north avenue 1,secondary
serangoon secondary school,0,0,11   upper serangoon view,secondary
shuqun primary school,0,0,8    jurong west street 51,primary
